Prj_Code,SiteCode,SiteName,PropertyName,RefugeCode,Ownership,Region,City,County,State,PrimaryContact,SecondContact,PhoneNumber,Latitude,Longitude,Elevation,Class,Longevity,Origin
3,Bayou1,Bayou Gulch #1,,,Douglas County Open Space,,Castlerock,Douglas,CO,Douglas County Open Space,,,39.42852,-104.74229,1862,Pond,Permanent,Artificial
3,Bayou2,Bayou Gulch #2,,,Douglas County Open Space,,Castlerock,Douglas,CO,Douglas County Open Space,,,39.42849,-104.74213,1860,Pond,Permanent,Artificial
1,BcatRCO,Bobcat,Rancho Canada Del Oro Open Space,RCO,Santa Clara County Open Space Authority,,San Jose,Santa Clara,CA,Patrick Congdon,,4082247476,37.12702,-121.76782,380,Pond,Temporary,Artificial
1,BDPND006,BDPND006,Black Diamond Mines Regional Park,BDM,East Bay Regional Park District,,Antioch,Contra Costa,CA,Rex Caufield,,5105442756,37.951233,-121.844358,322,Pond,Temporary,Artificial
1,BDPND007,BDPND007,Black Diamond Mines Regional Park,BDM,East Bay Regional Park District,,Antioch,Contra Costa,CA,Rex Caufield,,5105442756,37.955179,-121.860529,267,Pond,Permanent,Artificial
1,BDPND009,BDPND009,Black Diamond Mines Regional Park,BDM,East Bay Regional Park District,,Antioch,Contra Costa,CA,Rex Caufield,,5105442756,37.947986,-121.884921,431,Pond,Temporary,Artificial
1,BDPND014,BDPND014,Black Diamond Mines Regional Park,BDM,East Bay Regional Park District,,Antioch,Contra Costa,CA,Rex Caufield,,5105442756,37.972779,-121.862486,120,Pond,Permanent,Artificial
1,BDPND015,BDPND015,Black Diamond Mines Regional Park,BDM,East Bay Regional Park District,,Antioch,Contra Costa,CA,Rex Caufield,,5105442756,37.933047,-121.84589,183,Pond,Permanent,Artificial
1,BDPND021,BDPND021,Black Diamond Mines Regional Park,BDM,East Bay Regional Park District,,Antioch,Contra Costa,CA,Rex Caufield,,5105442756,37.948572,-121.855369,205,Pond,Temporary,Artificial
1,BDPND025,BDPND025,Black Diamond Mines Regional Park,BDM,East Bay Regional Park District,,Antioch,Contra Costa,CA,Rex Caufield,,5105442756,37.96135,-121.833322,126,Pond,Permanent,Artificial
1,BDPND026,BDPND026,Black Diamond Mines Regional Park,BDM,East Bay Regional Park District,,Antioch,Contra Costa,CA,Rex Caufield,,5105442756,37.963175,-121.846072,155,Pond,Permanent,Artificial
